PARENT_NAME,QUANTITY,COMPONENT_NAME
VALVE,1,BODY
VALVE,1,ORIFICE_GASKET
VALVE,1,ORIFICE
VALVE,1,DISC
VALVE,1,GUIDE_SET
VALVE,1,STEM
VALVE,1,COV_FLG
VALVE,1,FOLLOW_FLG
VALVE,1,SBP_PIPEPLUG
VALVE,1,SBS_PIPEPLUG
VALVE,1,NAMEPLATE
VALVE,4,DRIVESCREW
VALVE,2,NULL_LIPSEAL
VALVE,2,PACKING_F4
VALVE,6,PACKING_F3
VALVE,1,SLEEVE
VALVE,4,PACKING_F2
VALVE,1,LANT_RING
VALVE,1,SEP_RING
VALVE,1,PKG_GLAND
VALVE,2,BOLT_GASKET
VALVE,2,BOLT_X5
VALVE,2,BOLT_N13
VALVE,2,NUT_N14
VALVE,32,SPRING_WASH
VALVE,7,STUD_N1
VALVE,7,NUT_N2
VALVE,12,BOLT_N4
VALVE,7,BOLT_N3
VALVE,12,BOLT_N5
VALVE,22,STUD_N6
VALVE,8,STUD_N8
VALVE,60,NUT_N7
VALVE,1,WARN_TAG_PURGE
VALVE,1,WARN_TAG_SEAL
VALVE,4,DOWEL_COVFLG
VALVE,1,ACTUATOR
VALVE,1,NULL_ANCHORS
VALVE,1,PIPEPLUG200
VALVE,8,BOLT_ACT
VALVE,8,NUT_ACT
BODY,1,BODY_SPOOL
BODY,1,TOP_CONE
BODY,1,WELD_TOPCONE2SPOOL
BODY,1,TOP_STUB
BODY,1,BOT_CONE
BODY,1,WELD_BOTCONE2SPOOL
BODY,1,BOT_STUB
BODY,1,BONNET
BODY,1,WELD_BOTCONE_BOT
BODY,1,WELD_TOPCONE_TOP
BODY,1,SEAT
BODY,1,LIPSEAL
BODY,1,WELD_LIPSEAL
BODY,1,BODY_REFY
BODY,1,BODY_REFYTOP
BODY,1,WELD_SEATCONE
BODY,1,BON_RET_ASSY
BODY,1,FORM_TOP
BODY,1,FORM_BODY
BODY,2,LIFT_LUG_BODY
BODY,2,WELD_LUG_BOD_R
BODY,1,NAMEPLATE_BRKT
BODY,1,WELD_NP_BRKT
BODY,2,WELD_BON2BODR
BODY,2,WELD_BON2BODL
BODY,1,WELD_BON2BODT
BODY,1,WELD_BON2BODB
BODY,2,WELD_SPOOL_LS
BODY,1,KAOWOOL
BODY,1,CONE_CARDBOARD
BODY,1,BODY_JPAPER
BODY,1,BODY_REFY_NEEDLES
BODY,3,CARDBOARD
BODY,1,JK_PIPE_OS
BODY,1,JK_PIPE_IS
BODY,1,JK_KAOWOOL
BODY,1,WELD_JK_PORT
BODY,4,BP_PIPE_OS
BODY,4,BP_PIPE_IS
BODY,4,BP_KAOWOOL
BODY,4,WELD_BP
BODY,8,PIPE_BRACE2
BODY,1,JACKING_FLG
BODY,2,JACKING_BRKT
BODY,1,JACK_VALVE
BODY,4,BON_VALVE
BONNET,1,BON_FLG
BONNET,1,BON_TOP_PL
BONNET,1,BON_BOT_PL
BONNET,2,LIFT_LUG_BODY
BONNET,2,WELD_LUG_BOD_F
BONNET,1,WELD_BON_LSR
BONNET,1,WELD_BON_LSL
BONNET,1,WELD_BON2FLGBOT
BONNET,7,WELD_BON2FLG
SEAT,1,SEAT_PL
SEAT,1,SEAT_STUB
SEAT,1,WELD_SEATSTUB2CONE
SEAT,1,SEAT_BOT_CONE
SEAT,1,SEAT_TOP_CONE
SEAT,1,WELD_SEATCONES
SEAT,1,WELD_SEAT2SUPPORT
SEAT,57,SEAT_PTAB
SEAT,1,SEAT_PTAB_STRIP
SEAT,1,SEAT_REFY
BON_RET_ASSY,1,BON_RET_TOP
BON_RET_ASSY,1,BON_RET_BOT
BON_RET_ASSY,1,BON_RET_RSIDE
BON_RET_ASSY,1,BON_RET_LSIDE
FORM_BODY,1,FORM_SPOOL_ASSY
FORM_BODY,1,FORM_BON_ASSY
FORM_SPOOL_ASSY,1,FORM_SPOOL
FORM_SPOOL_ASSY,1,FORM_RING_TOP
FORM_SPOOL_ASSY,4,FORM_RING_SPL
FORM_SPOOL_ASSY,2,FORM_RING_BOT
FORM_BON_ASSY,1,FORM_BON_BOT
FORM_BON_ASSY,1,FORM_BON_L_SPC
FORM_BON_ASSY,1,FORM_BON_R_SPC
FORM_BON_ASSY,1,FORM_BON_TOP
FORM_BON_ASSY,12,FORM_BOLT2
FORM_BON_ASSY,24,FORM_NUT2
ORIFICE,1,ORIFICE_PL
ORIFICE,1,OPLT_RETAINER_BOT
ORIFICE,1,OPLT_REFY
ORIFICE,57,ORIFICE_PTAB
ORIFICE,1,OPLT_PTAB_STRIP
DISC,1,DISC_PL
DISC,1,WELD_DISC_HF
DISC,1,DISC_REFY
DISC,17,DISC_TOP_PTAB
DISC,16,DISC_BOT_PTAB
DISC,1,DISC_HEXMESH
DISC,1,DISC_TOP_PTAB_STRIP
DISC,1,DISC_BOT_PTAB_STRIP
DISC,1,DISC_MTO_PL
GUIDE_SET,1,GUIDE_LH
GUIDE_SET,1,GUIDE_RH
GUIDE_LH,1,GUIDE_LH_PL
GUIDE_LH,1,WELD_HF_GUIDE_LH
GUIDE_LH,1,GUIDE_MTO_LH
GUIDE_RH,1,GUIDE_RH_PL
GUIDE_RH,1,WELD_HF_GUIDE_RH
GUIDE_RH,1,GUIDE_MTO_RH
STEM,1,STEM_FORG
STEM,1,WELD_STEM_HF
COV_FLG,1,COV_FLG_PL
COV_FLG,1,SBOX_OUTER
COV_FLG,1,SBOX_INNER
COV_FLG,1,WELD_SBOXES
COV_FLG,2,SBOX_EAR
COV_FLG,2,WELD_SBOX_EAR
COV_FLG,1,WELD_SBOX
COV_FLG,1,WELD_SBOX_BACKSEAT
COV_FLG,1,LIPSEAL
COV_FLG,1,WELD_LIPSEAL
COV_FLG,1,COV_RETAINER
COV_FLG,1,COV_REFY
COV_FLG,2,GP_PIPE_OS
COV_FLG,2,GP_PIPE_IS
COV_FLG,2,GP_JPAPER
COV_FLG,2,WELD_GP
COV_FLG,2,GP_VALVE
COV_FLG,2,LIFT_LUG_COVER
COV_FLG,2,WELD_LUG_COV
COV_FLG,1,SBP_CPLG_T
COV_FLG,1,SBP_CPLG_B
COV_FLG,1,SBS_CPLG_T
COV_FLG,1,SBS_CPLG_B
COV_FLG,2,WELD_SBP_CPLG
COV_FLG,2,WELD_SBS_CPLG
COV_FLG,1,SBP_PIPE_T
COV_FLG,1,SBP_VALVE
COV_FLG,1,SBS_PIPE_T
COV_FLG,1,SBS_VALVE
COV_FLG,1,COV_JPAPER
COV_FLG,1,COV_REFY_NEEDLES
COV_FLG,1,ADAPT_YOKE
COV_FLG,4,PIPE_BRACE1
COV_FLG,2,PIPE_BRACE4
COV_FLG,2,PIPE_BRACE3
ADAPT_YOKE,1,ADAPT_FLNG_ACTSIDE
ADAPT_YOKE,2,YOKE_SIDEPLATE_C
ADAPT_YOKE,4,WELD_YOKE_2
ACTUATOR,1,BLAC_ACTUATOR
NULL_ANCHORS,1,V_ANC_BOD_V1
NULL_ANCHORS,1,V_ANC_BOD_V2
NULL_ANCHORS,1,V_ANC_BOD_V3
NULL_ANCHORS,1,V_ANC_BOD_V4
NULL_ANCHORS,1,V_ANC_BOD_V5
NULL_ANCHORS,1,V_ANC_BOD_V6
NULL_ANCHORS,1,V_ANC_BOD_V7
NULL_ANCHORS,1,V_ANC_BOD_CAP
NULL_ANCHORS,1,V_ANC_COV_V1
NULL_ANCHORS,1,V_ANC_COV_CAP
,1,VALVE
